 ###############
  -2.69880376380900       0.000000000000000E+000   2.69880376380900
  0.000000000000000E+000   2.69880376380900        2.69880376380900
  -2.69880376380900        2.69880376380900       0.000000000000000E+000
           8
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    3    8    0.33899377E-02 -0.40215631E-07
    4    8    0.33899374E-02 -0.46739401E-07
    5    8    0.26988845E-02 -0.10223415E-07
    6    8   -0.27948650E-02  0.93563099E-08
    7    8   -0.26988821E-02  0.19343623E-07
    8    8   -0.20391538E-01  0.34725885E-09

   -2    0    0
    1    1   -0.53966107E-02  0.38826731E-15
    2    1    0.11740741E-01  0.65955071E-07
    3    1   -0.10851130E+00 -0.29334631E-06
    4    1    0.11740738E-01  0.10191156E-07
    5    1   -0.23201684E-01 -0.24702927E-06
    6    1    0.23201680E-01  0.26893151E-06
    7    1    0.11617002E-01  0.91788783E-07
    8    1    0.40015838E-01  0.57635846E-06
    1    2    0.11740741E-01 -0.65955071E-07
    2    2    0.16524928E-01  0.38141935E-15
    3    2    0.11740737E-01 -0.36168985E-07
    4    2    0.59040605E-02 -0.27963829E-07
    5    2    0.13565623E-01  0.67416318E-07
    6    2    0.14103545E-01  0.90464481E-07
    7    2   -0.21166065E-01 -0.55001797E-07
    8    2   -0.23201682E-01 -0.20151824E-06
    1    3   -0.10851130E+00  0.29334631E-06
    2    3    0.11740737E-01  0.36168985E-07
    3    3   -0.53966092E-02  0.38957713E-15
    4    3    0.11740739E-01 -0.23482836E-07
    5    3    0.21166064E-01  0.16602373E-06
    6    3   -0.21166064E-01 -0.19066577E-06
    7    3    0.10228704E-01  0.53498197E-07
    8    3   -0.11617001E-01 -0.13598844E-06
    1    4    0.11740738E-01 -0.10191157E-07
    2    4    0.59040605E-02  0.27963829E-07
    3    4    0.11740739E-01  0.23482836E-07
    4    4    0.16524929E-01  0.38990276E-15
    5    4   -0.14103541E-01 -0.13504085E-06
    6    4   -0.13565625E-01 -0.14724307E-06
    7    4   -0.21166064E-01 -0.14980969E-06
    8    4   -0.23201683E-01 -0.31710147E-06
    1    5   -0.23201684E-01  0.24702927E-06
    2    5    0.13565623E-01 -0.67416317E-07
    3    5    0.21166064E-01 -0.16602373E-06
    4    5   -0.14103541E-01  0.13504085E-06
    5    5    0.16524928E-01  0.39088521E-15
    6    5   -0.59040634E-02 -0.56444682E-08
    7    5   -0.11740737E-01  0.29702596E-07
    8    5    0.11740737E-01  0.44019094E-07
    1    6    0.23201680E-01 -0.26893151E-06
    2    6    0.14103545E-01 -0.90464481E-07
    3    6   -0.21166064E-01  0.19066577E-06
    4    6   -0.13565625E-01  0.14724307E-06
    5    6   -0.59040634E-02  0.56444685E-08
    6    6    0.16524924E-01  0.35660542E-15
    7    6    0.11740737E-01 -0.41776350E-07
    8    6   -0.11740741E-01 -0.33000660E-07
    1    7    0.11617002E-01 -0.91788783E-07
    2    7   -0.21166065E-01  0.55001797E-07
